Method,DEL,INS,NDCG,POS@1,POS@3,POS@5,POS@10,NEG@1,NEG@3,NEG@5,NEG@10
LXR,0.0097,0.0387,0.6864,0.4081,0.7081,0.827,0.9432,0.8919,0.9811,0.9946,1.0
LIME,0.011,0.0176,0.8065,0.5757,0.9108,0.9568,0.9946,0.8946,0.9973,0.9973,1.0
Jac.,0.0088,0.0451,0.6203,0.3135,0.5919,0.7838,0.9189,0.8297,0.9676,0.9919,1.0
Cos.,0.0088,0.0453,0.6189,0.3108,0.6054,0.7649,0.927,0.8486,0.9757,0.9919,1.0
SHAP,0.0123,0.0086,0.8396,0.6514,0.9189,0.9703,0.9919,0.6595,0.8865,0.9541,0.9865
ACC.,0.0107,0.0146,0.8663,0.727,0.8973,0.9486,0.9892,0.4324,0.8189,0.9351,0.9838
DiceRec,0.0099,0.0249,0.5056,0.2162,0.4973,0.6595,0.8405,0.7027,0.8973,0.9514,0.9811
