Method,DEL,INS,NDCG,POS@1,POS@3,POS@5,POS@10,NEG@1,NEG@3,NEG@5,NEG@10
LXR,0.0102,0.0145,0.488,0.2172,0.4046,0.5228,0.6635,0.3944,0.6314,0.7322,0.8405
LIME,0.0096,0.0164,0.4293,0.1558,0.3284,0.4315,0.5808,0.52,0.7426,0.8306,0.9063
Jac.,0.0073,0.0196,0.3566,0.1023,0.2271,0.3156,0.4495,0.5409,0.7703,0.8523,0.9267
Cos.,0.0072,0.0197,0.3526,0.1,0.2224,0.3106,0.4404,0.5482,0.7802,0.859,0.9282
SHAP,0.0129,0.0106,0.5781,0.3098,0.5505,0.6476,0.7732,0.3067,0.527,0.6327,0.7622
ACC.,0.009,0.0147,0.4769,0.2373,0.3957,0.4774,0.5904,0.1436,0.3968,0.5641,0.7418
DiceRec,0.007,0.0218,0.2101,0.072,0.1749,0.2529,0.3989,0.5732,0.7914,0.8624,0.929
